title,location,image,link,details,hosts,main_host,Perks,categories,start,end
Chabad Student Club Inter-collegiate Shabbaton-Leadership Conference: University of South Florida (USF),Tabacinic Chabad Jewish Student Center at USF,https://se-images.campuslabs.com/clink/images/63d6844e-794c-4a42-88ef-5d537a47997db1dea705-0937-4bcb-844b-14321fcfa343.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10797243,"This Shabbaton is designed for students to gain an understanding of how to plan and execute a large Shabbat on campus. So far, the Shabbat's on campus have been small and limited in scope and we aim to learn how to make Shabbat bigger and better to bring onto the Stony Brook campus by learning from one of the best groups that host Shabbat: University of South Florida",Chabad Student Club,Chabad Student Club,Credit,Religious Service / Celebration,1740733200,1740979800
CPO Expert Series: Problem Gambling,Student Union Auditorium (Union 103-02),https://se-images.campuslabs.com/clink/images/faf19ecc-cf4f-4986-93e9-4cdc7c23cba6902106f7-6336-49fb-b57e-0e2ff9f5f62e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11089901,"Come join CPO as we host Pam from the Long Island Problem Gambling Resource Center to learn more about problem gambling, its consequences, and its connection to mental health and suicide risk and identifying resources in the community.",Center for Prevention and Outreach,Center for Prevention and Outreach,"Free Stuff, Credit",Health & Wellness,1741017600,1741021200
C3/SJS Information Session #3,Zoom,https://se-images.campuslabs.com/clink/images/2fbc29c1-ac95-4a5d-9199-0f8aada2c3a80f5b7c77-b95b-44d9-9adf-e423d0a4aa6b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11050611,"Topic: C3/SJS Information Session (Zoom) Time: Mar 3, 2025 12: 00 PM Eastern Time (US and Canada) Join Zoom Meeting https: //stonybrook. zoom. us/j/96997175958? pwd=GXqekogods0Ya9jdMKxuP65S7psJgv. 1 Meeting ID: 969 9717 5958 Passcode: 033144 -  -  - One tap mobile +16468769923, , 96997175958# US (New York) +16469313860, , 96997175958# US -  -  - Dial by your location • +1 646 876 9923 US (New York) • +1 646 931 3860 US • +1 309 205 3325 US • +1 312 626 6799 US (Chicago) • +1 301 715 8592 US (Washington DC) • +1 305 224 1968 US • +1 507 473 4847 US • +1 564 217 2000 US • +1 669 444 9171 US • +1 669 900 6833 US (San Jose) • +1 689 278 1000 US • +1 719 359 4580 US • +1 253 205 0468 US • +1 253 215 8782 US (Tacoma) • +1 346 248 7799 US (Houston) • +1 360 209 5623 US • +1 386 347 5053 US • +1 408 638 0968 US (San Jose) Meeting ID: 969 9717 5958 Find your local number: https: //stonybrook. zoom. us/u/aewS2jiLfG",Chávez Tubman and Nobel Community,Chávez Tubman and Nobel Community,Credit,,1741021200,1741024800
The Space 101,Engineering Room 105,https://se-images.campuslabs.com/clink/images/e4bf6377-09f7-4462-996b-fa99a5ccf83529af2387-719f-4357-b1b2-67e4c8ad76bf.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10979992,"The Space 101 is designed for any CEAS undergraduate student looking to become an official User of The Space. Attending, participating and passing the workshop will allow users to join future workshops or work during Open Maker Hours in The Space.",College of Engineering and Applied Sciences: The Space,College of Engineering and Applied Sciences: The Space,Credit,,1741023000,1741025700
Stud-Tea Sessions With Tau Beta Pi,LIBRRY W4540,https://se-images.campuslabs.com/clink/images/02f512cd-38d2-484a-a858-0459a7ef1c0f7aa22bbe-a3a1-4241-8a31-272048eb6c1b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11099784,Come join Tau Beta Pi for a weekly study session at the Melville Library!,Tau Beta Pi The Engineering Honor Society,Tau Beta Pi The Engineering Honor Society,Credit,,1741023000,1741026600
Study Abroad in Africa Info Session,Library E-1340,https://se-images.campuslabs.com/clink/images/4efb1a66-3d3a-4a33-a7e2-31d6b8cfee603b48ee49-7dbd-4f85-a8b5-8e0318bd002e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11098173,"Learn about our programs in Kenya, Tanzania, and Madagascar! From vibrant cultures to breathtaking landscapes and hands - on learning experiences. Join us in person or via zoom. Join Zoom Meeting Meeting ID: 565 477 1600",International Academic Programs (Study Abroad Office),International Academic Programs (Study Abroad Office),Credit,,1741023000,1741026600
Graduate Career Series: Navigating Salary Negotiation,Virtual,https://se-images.campuslabs.com/clink/images/d1b51d09-cd4c-4f52-84b8-eda72f4ed944e976ff9b-efee-4649-9e85-e68c3b7a75bd.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10909415,"Register on Handshake Unlock your earning potential with our ""Graduate Career Series: Navigating Salary Negotiation, "" specifically designed for graduate students ready to confidently navigate the complexities of salary discussions. This empowering session will equip you with proven strategies and practical tips to effectively negotiate your salary and benefits package. Learn how to research industry standards, articulate your value, and handle counteroffers with finesse. Gain the confidence to advocate for yourself and ensure you receive the compensation you deserve. Join us to master the art of negotiation and take control of your financial future.",Career Center,Career Center,Credit,Career/Networking,1741023000,1741026600
Tea and Talk,SAC 303,https://se-images.campuslabs.com/clink/images/c7fe70b6-afd3-40d0-950a-75a2d53057a0247243c2-3860-4af3-8042-afc475f77aea.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11077719,"Come by during campus lifetime hours to improve your Russian language skills with our e - board, or if you're interested in learning, we will hold casual Russian language learning lectures for all interested members. Enjoy a nice cup of chai (tea) while you chat and/or learn!",Russian Corner,Russian Corner,"Free Food, Credit",,1741023000,1741026600
Explore AI Pop Up Series: Prompt Engineering,Galleria,https://se-images.campuslabs.com/clink/images/44e178d1-f19d-464c-860f-57cb7d0733e65e09e778-6751-4fce-a647-2f29f3aaba15.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11068488,"How do you get the most out of generative AI? Stop by the library Galleria outside of the Central Reading Room to learn more! Librarians Chris Kretz and Ahmad Pratama, along with David Ecker of DoIT, will be demonstrating tools and tips for writing prompts that make the most of what AI can do. And they'll be hosting Explore AI demos from Monday - Wednesday (12: 30 - 1: 30) of this week so come on down. Whether you're new to AI or a current user, they'd love to talk to you about it.",University Libraries,University Libraries,Credit,Arts & Crafts,1741023000,1741026600
Cafecito con SHPE,SAC Shore Club,https://se-images.campuslabs.com/clink/images/d57820bd-4925-4a00-b0a6-2f54c5e0d4bcf6a1496e-c006-4318-8ffa-a45c18b09594.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10930343,"Join SHPE at the Shore Club on March 3rd as we kick off our SHPEtinas events with Cafecito con SHPE. Attendees will have the chance to meet members and other students as they enjoy coffee, hot chocolate, and delicious food!",Society of Hispanic Professional Engineers,Society of Hispanic Professional Engineers,Credit,,1741023000,1741028400
GBM#2 - Hop-Online! Create Your Own Personal Website!,SAC 302,https://se-images.campuslabs.com/clink/images/fab009d2-6ee1-4658-8efe-cf125ae3b4f61b65255a-0482-472d-8ebe-1ec1eca19d97.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11091546,"Looking to stand out in the digital world? Join WiCS for a hands - on workshop where you'll build your very own personal website from scratch! Whether you want to showcase your portfolio, blog your passions, or create an online resume, we’ll guide you through the basics of HTML, CSS, and personal branding. No prior experience needed—just hop in and start coding! 🚀✨",Women in Computer Science,Women in Computer Science,Credit,,1741023000,1741028400
Build your Resume with Virtual Job Simulations,SAC 306,https://se-images.campuslabs.com/clink/images/3e14d5a3-e4f6-4a54-9681-9b37b1be217752247acd-7aef-4b67-992d-e442030b2820.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10909544,"Register on Handshake Build your Resume with Virtual Job Simulations Gain experience and skills with Fortune 500 companies such as JPMorgan Chase, Pfizer, Citi, Deloitte, and GE Aerospace! Come to this workshop to get started using Forage, the virtual job simulation platform. Forage allows you to earn certifications to add to your Linkedin and resume, and help land your next job or explore career options. Students should bring their laptops to this event.",Career Center,Career Center,Credit,Career/Networking,1741024800,1741028400
SF4M GBM!,Student Union L06-08,https://se-images.campuslabs.com/clink/images/3efd913d-0359-4b1f-bece-d73992369d722d401bee-e2a5-4ed2-81c8-6c95b3b77938.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007481,"The Science Fiction Forums weekly general body meeting! Come on down to see how we run, and stay after to hang out with all of our members!",Science Fiction Forum,Science Fiction Forum,Credit,,1741024800,1741028400
Women's League Tournament at SCSU,Southern Connecticut State University,https://se-images.campuslabs.com/clink/images/68e0dbd9-4688-49cb-8b07-0a4f2d32d769a7a6dc0c-9658-4619-abfd-feedce9a25d2.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10926997,Women's A and B team will compete at SCSU,Volleyball Club at SBU,Volleyball Club at SBU,Credit,,1741006800,1741035600
SBSNA Spring Blood Drive,Stony Brook University Hospital Blood Bank,https://se-images.campuslabs.com/clink/images/cba168f4-1dab-4ae1-a09a-391557d602a815cbcade-3517-4b78-86f9-09b35699b387.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11091452,This is an event for all of the cohorts to have the opportunity to donate blood to the Stony Brook Hospital Blood Bank and each donor will receive a prize (please inquire within the bloodbank). The Stony Brook Blood Bank is in dire need of blood donors and every opportunity to donate blood is a contribution to someone else's good health.,Stony Brook Student Nurses' Association,Stony Brook Student Nurses' Association,Credit,Community Service,1741006800,1741035600
TSA Presents: Taiwanese Pork Buns & Fried Dumplings,SAC Lobby,,https://stonybrook.campuslabs.com/engage/event/11091389,"Taiwan 🇹🇼 is famous for its delicious 🤤 food and TSA is bringing Taiwanese food to campus 🍽️. Let us introduce you Guabao 刈包 🤩 and Guotie 鍋貼 🥟. Guobao is made of steam buns ♨️ with filling and topping, it's also known as Taiwanese burger 🍔 or Taiwanese pork bun 🐷. Guotie is fried dumpling 🔥, what makes it unique ✨ is that it's crispy on the outside and juicy on the inside. This time we cater from ""Sushi Vogue"" 🍣 and trust us, it can only be gooooood 🫡. As always, we are also serving Winter Melon Tea 🍹 to make everything better ⬆️! What are you waiting for 💁🏻‍♀️? Order now to get a taste of Taiwan 🇹🇼!",Taiwanese Students Association,Taiwanese Students Association,Credit,,1741021200,1741035600
Graduate Badminton - Club Hours,MAC Courts,https://se-images.campuslabs.com/clink/images/5d730f2c-3bf1-425c-8a79-dc80bd5dbbcbd38b27ea-6d33-48ca-8d54-ea59b3e1a641.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11063747,"NEW TO BADMINTON? Don't worry, join Graduate Badminton Union's weekly club timing. Meet new friends and improve your badminton skills. Sports wear is recommended. Please visit 30 minutes ahead during the net setup. Club Hours Location: MAC Courts (Basement of REC)",Graduate Badminton Union,Graduate Badminton Union,Credit,Sporting/Athletic Program,1741032000,1741037400
Student Affairs Undergraduate Fellow Internship 2025-2026 - Virtual Information Sessions,Online,https://se-images.campuslabs.com/clink/images/3eded756-485a-456c-8367-849b84e3988336ba5cac-81fb-465c-a206-864101bcef63.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11100232,"All registrants must submit the Division of Student Affairs Fellowship Information Session Registration Form. For access, please click the link below. Thank you.",Student Affairs,Student Affairs,Credit,Career/Networking,1741033800,1741037400
Discounted LIRR Tickets for Spring Break!,LIRR NYC,https://se-images.campuslabs.com/clink/images/015468f5-0361-4bd1-9af7-dc3c5469f4b5c87d7a13-450c-42de-9621-f00c42b8618a.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10719742,"Student Engagement and Activities is offering discounted roundtrip LIRR tickets for the Spring Break. Each ticket is good for 1 ROUND TRIP - Peak fare for Zones 1 - 10 https: //new. mta. info/document/19751 After purchase, the tickets will be available to be picked up from the USG Ticket Office in the Student Activities Center. Tickets for undergraduate students are $20. 00 and for graduate students are $30. 00. Tickets are valid for 30 days. Tickets go on sale Monday, March 3rd at 9 am. Click here to buy tickets! If you have any questions, please emailBeyondtheBrook@stonybrook. edu",Student Engagement & Activities,Student Engagement & Activities,Credit,Beyond the Brook- Off Campus Trips,1741010400,1741039200
Queer and Crafts Affinity Group,LGBTQ* Center,https://se-images.campuslabs.com/clink/images/5e9fdbdf-95fc-40a3-a992-6a7c78cd4abe7d211ee8-3d9f-429a-b2c3-f5b3bbaefde5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11051920,Come join LGBTQ* Services every Monday from 5 to 6: 30PM for a different craft each week! The LGBTQ* Center is located above West Side Dining. Affinity groups are not meant as a replacement for counseling services. This space is NOT open for research or observation. Please contact LGBTQ* Services at lgbtqservices@stonybrook. edu or (631) 632 - 1690 for any accessibility needs or concerns.,LGBTQ* Services,LGBTQ* Services,Credit,,1741039200,1741044600
GBM #10: :Human Testing Week 3,SAC 304,,https://stonybrook.campuslabs.com/engage/event/11083768,"Join us for a critical discussion on the ethics of human testing in scientific and medical research, exploring the balance between scientific progress and the protection of human rights.",Bioethics Society,Bioethics Society,Credit,,1741042800,1741045800
Red Watch Band Training,CPO Training Room,https://se-images.campuslabs.com/clink/images/aabee35b-199c-4a24-81b2-d6774dc242b3b125fb1b-23d7-4801-8a1f-6a6c14d6de50.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10836229,"Part of the CPO Upstander program - Red Watch Band teaches students how to identify an overdose and how to call for help to save a life! You must register for this training attinyurl. com/cpobystander To earn theUpstander Award(includes a certificate and graduation cord), you will need to complete the following: May 2026 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2026 May 2027 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2027 May 2028 graduates: complete Red Watch Band, QPR, Green Dot AND Hands - Only CPR by January 1, 2028 For accessibility needs please contact prevention_outreach@stonybrook. edu",Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,1741039200,1741046400
Embroidery at SBU: GBM,Library N3063,,https://stonybrook.campuslabs.com/engage/event/11040619,"Come by to work on your very own embroidery project. Personal fabric items are welcome, provided supplies are limited.",Embroidery at SBU,Embroidery at SBU,Credit,,1741046400,1741049400
General Body Meeting,Humanities Building,,https://stonybrook.campuslabs.com/engage/event/10957393,"The General Body Meeting for the College Socialists of Stony Brook University! Subject matter for each meeting can vary from general political advocacy, and political education, to campus activism. Come on right in!",College Socialists,College Socialists,Credit,"Social Action, Disability/Ability Awareness, Civic Engagement",1741046400,1741049400
Test Your Breast!,SAC 302,https://se-images.campuslabs.com/clink/images/271a4212-aea5-4ebe-a2e3-c5b2ab642c399562c930-fbe3-41ea-8329-3907f1ed3ff0.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10358592,"Join PPGA for a dive into breast cancer awareness, a shout out to amazing women in history for Women's History Month, and take your health into your own hands by learning how to check yourself for breast cancer! There will be a raffle for, not one, but THREE breast plushies! Come to three PPGA GBMs this semester and graduate with a hot pink cord!",Planned Parenthood Generation Action at Stony Brook University,Planned Parenthood Generation Action at Stony Brook University,Credit,"Health & Wellness, Social Action",1741046400,1741050000
AIChE ChemE Jeopardy Weekly Meetings,ESS 177,https://se-images.campuslabs.com/clink/images/ca1fef38-96d6-4e82-9e6b-4ecdde819ac11f64dd7a-93d5-458c-b93f-dc0d8549e177.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11044773,AIChE's ChemE Jeopardy team will be practicing for the national and regional ChemE Jeopardy competitions.,American Institute of Chemical Engineers,American Institute of Chemical Engineers,Credit,,1741046400,1741050000
ASBO GBM,Frey 309,https://se-images.campuslabs.com/clink/images/24db683b-b77b-45d7-9d53-85e789b9f5f7d28a72f8-4a85-4e4d-89b6-2315696920dc.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10943865,"Please join us for our weekly spring general body meetings. We will discuss our spring break trip plans and learn about the amazing things volunteering has to offer. Here, you will meet like - minded people who enjoy helping others and making friends along the way. And when our spring break trip is over there will still be a lot of fun things to do during our meetings!",Alternative Spring Break Outreach,Alternative Spring Break Outreach,Credit,,1741046400,1741050000
University Affairs Committee,USG Suite Conference Room SAC 202,https://se-images.campuslabs.com/clink/images/fb0ab4e4-2813-438c-a8ee-9f9be00ad8f4d110ccb5-66e2-4d49-b8b6-d17f1bd31cf5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10801884,"University Affairs Committee of the Undergraduate Student Government. The committee meets every Monday from 6: 30 - 8: 30pm unless otherwise noted (i. e University Senate dates, cancelled on holidays and breaks). The committee manages the Senate Line and any funding requests from Senate Line that come forward for Senator initiatives. The University Affairs Committee also works to promote university and academic - wide policies and services that benefit the undergraduate student body. The Committee reviews campus - wide issues and creates tangible steps to enhance undergraduate student quality of life, and invites guest speakers from various departments across the University for discussion. This meeting is public and takes place in the USG Conference Room in the USG Suite (SAC 202), anyone can attend and observe the meeting -  - a Zoom link is also available. Meeting minutes will be posted from each meeting on the USG website for public viewing to adhere to open meetings law.",Undergraduate Student Government,Undergraduate Student Government,Credit,,1741044600,1741051800
Pagan Circle: TBD!,SAC 303,https://se-images.campuslabs.com/clink/images/9e7f9580-af40-4296-84cb-78ecb6a8483ba0ce603d-5971-419b-bd28-3dfecfa332c7.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11048444,"PSS Pagan Circle Small, book - club style group for discussion, sharing, and updates on our individual practices.",Pagan Student Society,Pagan Student Society,Credit,,1741050000,1741053000
Field Hockey Club Practice,Campus Recreation Outdoor South Field Complex- Field A,https://se-images.campuslabs.com/clink/images/670ea046-7052-4ec1-8151-47b4a157a7e0b36b1345-2074-4b90-8019-dd391ca329a8.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971470,"Join Stony Brook Field Hockey Club! We practice every week on Monday and Wednesday from 7 - 9PM. NO PRIOR EXPERIENCE IS REQUIRED TO PLAY! Whether you are new to the sport or have years of experience, we encourage you to join us! Equipment is provided.",Field Hockey Club Team,Field Hockey Club Team,Credit,,1741046400,1741053600
Chinablue Block booking,SAC 311,https://se-images.campuslabs.com/clink/images/74a6be5f-6b4e-4a8a-a36a-9c69270858c4e1c3a71a-89ba-419c-8e71-56083d9fe6ff.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10873884,Chinablue will be hosting our weekly cabinet meetings for the spring semester.,ChinaBlue,ChinaBlue,Credit,,1741050000,1741053600
Pre-Optometry Club GBM: Salus at Drexel Info Session,Online,https://se-images.campuslabs.com/clink/images/5ff33a11-c574-4a80-8d76-ba31173497690aa1056f-76ad-4501-be24-692e1564b89b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11067839,"Office of Admissions is inviting you to a scheduled Zoom meeting. Topic: Stony Brook Pre - OD -  - PCO Presentation Time: Mar 3, 2025 08: 00 PM Eastern Time (US and Canada) Join Zoom Meeting https: //drexel. zoom. us/j/83474156382? pwd=vOdlZ3t2bTq9ML2rS3Iy5oeOibRR6c. 1 Meeting ID: 834 7415 6382 Passcode: 901194 -  -  - One tap mobile +12678310333, , 83474156382#, , , , *901194# US (Philadelphia) +14702509358, , 83474156382#, , , , *901194# US (Atlanta) Join our Cloud HD Video Meeting",Pre-Optometry Club,Pre-Optometry Club,Credit,,1741050000,1741053600
BASIC GBM,Frey 313,https://se-images.campuslabs.com/clink/images/5562791b-bc00-40c3-840c-8985ad98b9784e4f57da-9de6-4a93-9f10-fbd4167ea501.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10966628,"Please join us in celebrating the life, death, and resurrection of Jesus Christ through worship, workshop, and powerful sermons. We meet every Monday at 8pm in Frey 313.",Brothers and Sisters in Christ,Brothers and Sisters in Christ,Credit,Religious Service / Celebration,1741050000,1741053600
CSO Jeopardy Night,SAC 305,https://se-images.campuslabs.com/clink/images/b4777226-3339-407e-8737-f0f800ffc4e80083a239-ac6a-4d8f-9e6c-fe4308165829.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11071164,Come join CSO as we challenge your knowledge on the Caribbean Islands and Caribbean culture. The location of this Jeopardy event. Where is SAC 305? Can't wait to see you all at our event!,Caribbean Student Organization,Caribbean Student Organization,Credit,,1741050000,1741053600
GBM for College Democrats,SAC 302,https://se-images.campuslabs.com/clink/images/1408ac97-3d19-407b-b146-070cbd867584fa768c3c-86f0-42a2-83b7-78445b8debfd.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10962509,Come hangout and talk politics with College Democrats!,College Democrats,College Democrats,Credit,Civic Engagement,1741050000,1741053600
Monday Practice,REC 128,https://se-images.campuslabs.com/clink/images/0428bab8-6991-4175-932f-4e9d33816a7fccfd5d3c-ac02-47ea-a918-19250fd6a62e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11006295,Monday Practice,Wrestling Team,Wrestling Team,Credit,,1741050900,1741054500
PUSO Presents: Spring Weekly GBMs,Melville E4320,https://se-images.campuslabs.com/clink/images/50697e89-1ea0-4ba8-a912-01ab6d9a3cda4ecdadd5-bc19-4d21-8e8d-722f7489e7e9.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11050472,"Join the Philippine United Student Organization (PUSO) for our weekly Spring General Body Meetings! This is a time for us to come together, learn, and celebrate Filipino culture through engaging themes and discussions. Whether you're here to deepen your cultural knowledge, connect with fellow general body members, or just hang out and have fun, there's something for everyone!",Philippine United Student Organization,Philippine United Student Organization,Credit,"Asian, Pacific Islander, Desi American Heritage Month",1741051800,1741055400
MSA Ramadan Kickoff,SAC Ballroom A,https://se-images.campuslabs.com/clink/images/9d849e49-5c5f-4f75-8e8c-92c45acacc753ee18582-eb62-40c4-953a-dc925265af00.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10933423,"Join us for theRamadan Kickofforganized by theSBU MSA! Let’s welcome the holy month with reflection, community, and inspiration. 🗓Date: 03/03/2025🕒Time: 6pm to 10pm📍Location: SAC Ballroom A Enjoy an evening of spiritual talks, prayers, and fellowship as we prepare our hearts and minds for Ramadan. Food (Iftar) will be served. Bring your friends—everyone is welcome! We can’t wait to see you there! SBU MSA",Muslim Students’ Association,Muslim Students’ Association,"Free Food, Free Stuff, Credit","Community Service, Social Action",1741042800,1741057200
RHA General Body Meetings,Alan S. deVries Center 200-206,https://se-images.campuslabs.com/clink/images/9760bb49-87b8-4c22-ab8f-411d7bb53926247cfa3d-5045-446c-a723-a609255df4ba.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11059838,"Our weekly general body meetings -  - mandatory for RHA Senators from each residential hall council, but also welcome to the general body! Come and learn about res life on campus and advocate for your fellow residential students! RHA Senators: if you cannot attend, you must fill outthe proxy form on our websitebefore 4: 00 PM on Monday!",Residence Hall Association,Residence Hall Association,Credit,,1741050000,1741057200
SBU Club Swimming: Practice - Spring 2025,University Pool,https://se-images.campuslabs.com/clink/images/706ebbfd-3d95-4605-83f1-63aa4785c35044406a1f-84fe-45db-a50e-c58de0eb2da5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10926689,"Join us for our daily swim practice, all skill levels welcome! We do not offer a learn to swim program.",Club Swimming at Stony Brook University,Club Swimming at Stony Brook University,Credit,,1741053600,1741057200
Ultimate Frisbee Club Indoor Practice - Monday,SBU Indoor Practice Facility,https://se-images.campuslabs.com/clink/images/3eadc3ea-f9c3-4073-a588-f20a15bfe566b7020310-8039-4a6d-82a2-4417ccd255a6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971490,"Ready to get active, have fun, and meet new friends? Come out and join our ultimate frisbee team for practice! Whether you're a seasoned player or a complete beginner, everyone is welcome. We focus on having a great time, improving skills, and building a strong team spirit. No experience is necessary—our practices are beginner - friendly and designed to help you learn and grow in the sport. What to Bring: Bring the following: White Shirt, Dark Shirt (No Gray Shirts), Water, Sneakers or Cleats (Cleats encouraged) Directions for Athletic Bubble/Indoor Practice Facility: You can take the outer loop to the back of the arena stadium. Map Link Here: https: //www. google. com/maps/place/SBU+Indoor+Practice+Facility/@40. 9192789, - 73. 12591, 17z/data=! 4m6! 3m5! 1s0x89e83fed700ee931: 0x1f6272f738619a3d! 8m2! 3d40. 9202052! 4d - 73. 1232971! 16s%2Fg%2F11h56vyzrv? entry=ttu We’re excited to see you at practice! Feel free to drop by anytime during the semester—everyone is welcome to join the fun.",Ultimate Frisbee,Ultimate Frisbee,Credit,,1741057200,1741064340
Narcan Training,CPO training room,https://se-images.campuslabs.com/clink/images/85f6496c-fa9b-4eee-aad1-112ae7a02c22836c11b2-52df-400d-ba2c-6f852f28659c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10932904,"Come join CPO to learn about the history of the opioid crisis, local statistics of fatalities due to opioids, gain more knowledge about the spectrum of dependency, identify resources on and campus and in the community, and confidently identify an overdose situation and use Narcan. Register Here: tinyurl. com/cpobystander",Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,1741100400,1741104000
Explore AI Pop Up Series: Image Generators,Galleria,https://se-images.campuslabs.com/clink/images/ae003c17-69cf-47ae-8a1d-0e686754289edf790b23-de8f-472d-a397-d5335710cbf9.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11069313,Curious about what AI image generation tools are out there and how they work? Come down and see some demonstrations and learn more about them. This pop up runs from 3/3 - 3/5 and is hosted by librarians Chris Kretz and Ahmad Pratama and David Ecker of DoIT.,University Libraries,University Libraries,Credit,Arts & Crafts,1741109400,1741113000
Community Wellness Walk with CPO,Union Suite 108,https://se-images.campuslabs.com/clink/images/deb41480-05dd-43fd-8e4c-50602a5e4632ce341394-e907-420d-a17e-3ef230b37fc6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11015661,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week! Join us Tuesday March 4th from 1 - 2pm for one of our weekly wellness walks! All abilities are invited, no experience necessary, no one gets left behind Email prevention_outreach@stonybrook. edu for accessibility needs",Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,1741111200,1741114800
PACE Screening Days,"CPO Office, Union 108",https://se-images.campuslabs.com/clink/images/b9dfd007-e3ec-4f72-8106-3676427e557557ce884e-b7d2-42e3-bb96-8dd752f824fa.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11029509,"The PACE Team will be offering free and confidential physical health screenings for students every Tuesday from 10am - 3pm CPO Office, Union 108 No appointment necessary. Please check in at the PACE table in the Union Lobby Screenings and Assessments include:",Center for Prevention and Outreach,Center for Prevention and Outreach,"Free Stuff, Credit",,1741100400,1741118400
Tennis Club - Competitive Team Practice,Eastern Athletic of Blue Point,https://se-images.campuslabs.com/clink/images/1f11e9ad-b079-4bc8-80be-d2215945d45dbbc0edf4-6e8a-48fa-b310-f594145834bb.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971162,The tennis club competitive team practices are for members of our competitive team only. We will be playing matches to help prepare for our upcoming tournaments.,Tennis Club,Tennis Club,Credit,,1741111200,1741118400
SBU Roundnet Weekly Practices,Rec and Wellness Center MAC Courts (basement),https://se-images.campuslabs.com/clink/images/218575dd-6b7e-4dd6-a75d-5875299c8d5b333bc29a-764d-463d-afd6-6c3475923816.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11028585,SBU Roundnet Weekly Practices @ MAC Courts (basement of Rec) Tuesday 2 - 3: 30pm Sunday 4: 30 - 6pm,Roundnet at SBU,Roundnet at SBU,Credit,Sporting/Athletic Program,1741114800,1741120200
SBSNA Spring Blood Drive,Stony Brook University Hospital Blood Bank,https://se-images.campuslabs.com/clink/images/cba168f4-1dab-4ae1-a09a-391557d602a815cbcade-3517-4b78-86f9-09b35699b387.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11091453,This is an event for all of the cohorts to have the opportunity to donate blood to the Stony Brook Hospital Blood Bank and each donor will receive a prize (please inquire within the bloodbank). The Stony Brook Blood Bank is in dire need of blood donors and every opportunity to donate blood is a contribution to someone else's good health.,Stony Brook Student Nurses' Association,Stony Brook Student Nurses' Association,Credit,Community Service,1741093200,1741122000
