title,date,location,organizer,link,description
Field Hockey Club Practice,"Monday, February 24 at 7:00PM EST",Campus Recreation Outdoor South Field Complex- Field A,Field Hockey Club Team,https://stonybrook.campuslabs.com/engage/event/10971468,"Join Stony Brook Field Hockey Club! We practice every week on Monday and Wednesday from 7-9PM. NO PRIOR EXPERIENCE IS REQUIRED TO PLAY! Whether you are new to the sport or have years of experience, we encourage you to join us! Equipment is provided."
Chinablue Block booking,"Monday, February 24 at 8:00PM EST",SAC 311,ChinaBlue,https://stonybrook.campuslabs.com/engage/event/10873883,Chinablue will be hosting our weekly cabinet meetings for the spring semester.
Chat with CSO,"Monday, February 24 at 8:00PM EST",SAC 305,Caribbean Student Organization,https://stonybrook.campuslabs.com/engage/event/11036790,"Join us for a night of engaging conversations and cultural connections at Our Chat with CSO! 🌴💬✨ This is your chance to vibe with fellow Caribbean students 🌊, share stories 🗣️, and dive into discussions that matter! Whether you’re looking to make new friends 🤝, reconnect with familiar faces 😃, or just enjoy a chill atmosphere, this event is for you! 🌟 Come meet our e-board members 👋🏽, build lasting connections 👯‍♂️, and set the tone for an exciting semester ahead!🔥 Don’t miss it! 😎🎉"
Pagan Circle: Topic TBA,"Monday, February 24 at 8:00PM EST",SAC 303,Pagan Student Society,https://stonybrook.campuslabs.com/engage/event/10864710,"Pagan Circle is a group gathering of Pagans, spiritualists, and curious beginners sharing their favorite Pagan topics with one another."
BASIC GBM,"Monday, February 24 at 8:00PM EST",Frey 313,Brothers and Sisters in Christ ,https://stonybrook.campuslabs.com/engage/event/10966627,"Please join us in celebrating the life, death, and resurrection of Jesus Christ through worship, workshop, and powerful sermons. We meet every Monday at 8pm in Frey 313."
GBM for College Democrats,"Monday, February 24 at 8:00PM EST",SAC 302,College Democrats,https://stonybrook.campuslabs.com/engage/event/10962508,Come hangout and talk politics with College Democrats!
Monday Practice,"Monday, February 24 at 8:15PM EST",REC 128,Wrestling Team,https://stonybrook.campuslabs.com/engage/event/11006294,Monday Practice
Musician Mixer,"Monday, February 24 at 7:30PM EST",Tabler Cafe in the Tabler Community Center,Stony Music Rocks!,https://stonybrook.campuslabs.com/engage/event/11083821,"Musician Mixer is designed to jump-start the Stony Music Rocks community! We will begin with Eboard introductions and then we’ll move into the live music portion:

A setlist of bands will perform over the first hour of the event. On stage will be a drum set, guitar amp, bass amp, and mic+XLR cable set up with a PA system. There will be warm lighting, decorations, and our club poster board.

The mixer portion follows the live music portion: social mixer activities for people to mingle about, acquire new contacts, and make new bands and new friends! Towards the end, we might have karaoke given the time constraints.

By the end of this GBM, an attendee will have a whole new set of contacts, friends, and a new band!"
PUSO Presents: Spring Weekly GBMs,"Monday, February 24 at 8:30PM EST",Melville E4320,Philippine United Student Organization,https://stonybrook.campuslabs.com/engage/event/11050471,"Join the Philippine United Student Organization (PUSO) for our weekly Spring General Body Meetings! This is a time for us to come together, learn, and celebrate Filipino culture through engaging themes and discussions. Whether you're here to deepen your cultural knowledge, connect with fellow general body members, or just hang out and have fun, there's something for everyone!"
Narcan Training,"Monday, February 24 at 8:30PM EST",CPO training room,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10932903,"Come join CPO to learn about the history of the opioid crisis, local statistics of fatalities due to opioids, gain more knowledge about the spectrum of dependency,  identify resources on and campus and in the community, and confidently identify an overdose situation and use Narcan.
Register Here: tinyurl.com/cpobystander"
RHA General Body Meetings,"Monday, February 24 at 8:00PM EST",Bauman Center,Residence Hall Association,https://stonybrook.campuslabs.com/engage/event/10849667,"Our weekly general body meetings--mandatory for RHA Senators from each residential hall council, but also welcome to the general body! Come and learn about res life on campus and advocate for your fellow residential students!
RHA Senators: if you cannot attend, you must fill out the proxy form on our website before 4:00 PM on Monday!"
SBU Club Swimming: Practice - Spring 2025,"Monday, February 24 at 9:00PM EST",University Pool,Club Swimming at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/10926685,"Join us for our daily swim practice, all skill levels welcome!
We do not offer a learn to swim program."
30 Minutes with God,"Monday, February 24 at 10:00PM EST",Online,Protestant Campus Ministry ,https://stonybrook.campuslabs.com/engage/event/10747402,Join Pastor Brenda and PCM Student Leadership online for 30 minutes of evening prayer.
30 Minutes with God,"Monday, February 24 at 10:00PM EST",Online,Protestant Campus Ministry ,https://stonybrook.campuslabs.com/engage/event/10747401,Join Pastor Brenda and PCM Student Leadership online for 30 minutes of evening prayer.
Ultimate Frisbee Club Indoor Practice - Monday,"Monday, February 24 at 10:00PM EST",SBU Indoor Practice Facility,Ultimate Frisbee,https://stonybrook.campuslabs.com/engage/event/10971489,"Ready to get active, have fun, and meet new friends? Come out and join our ultimate frisbee team for practice! Whether you're a seasoned player or a complete beginner, everyone is welcome. We focus on having a great time, improving skills, and building a strong team spirit. No experience is necessary—our practices are beginner-friendly and designed to help you learn and grow in the sport.
What to Bring:
Bring the following: White Shirt, Dark Shirt (No Gray Shirts), Water, Sneakers or Cleats (Cleats encouraged)
Directions for Athletic Bubble/Indoor Practice Facility: You can take the outer loop to the back of the arena stadium.
Map Link Here: https://www.google.com/maps/place/SBU+Indoor+Practice+Facility/@40.9192789,-73.12591,17z/data=!4m6!3m5!1s0x89e83fed700ee931:0x1f6272f738619a3d!8m2!3d40.9202052!4d-73.1232971!16s%2Fg%2F11h56vyzrv?entry=ttu
We’re excited to see you at practice! Feel free to drop by anytime during the semester—everyone is welcome to join the fun."
Community Wellness Walk with CPO,"Tuesday, February 25 at 1:00PM EST",Union Suite 108,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11015660,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Tuesday February 25th from 1-2pm for one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs"
Modeling Individual Cognitive Patterns and Mental Health from Language,"Tuesday, February 25 at 1:00PM EST","Special Collections Seminar Room, E-2340 - Capacity: 50",University Libraries,https://stonybrook.campuslabs.com/engage/event/11027629,"Language is a powerful means to communicate to the world and ourselves what we are thinking about, and why we behave in certain ways. Associating linguistic patterns with specific cognitive patterns and mental states can be an insightful tool in understanding the unique cognitive styles of individuals -- not only can it help understand implicit behavioral traits such as a person’s judgment and decision-making abilities, reasoning skills, but it can also help model complex mental health conditions such as depression, PTSD, anxiety, mood disorders, etc. which can be used for diagnosis and therapy to improve our well-being. In this talk, I will introduce novel techniques to train precise models on social media discourse to capture individual cognitive styles. I will then present my work on language-based assessments for mental health, demonstrating an improved methodology for eliciting and capturing relevant discourse in mental health assessment."
PACE Screening Days,"Tuesday, February 25 at 10:00AM EST","CPO Office, Union 108",Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11029508,"
The PACE Team will be offering free and confidential physical health screenings for students every Tuesday from 10am-3pm
CPO Office, Union 108
No appointment necessary. Please check in at the PACE table in the Union Lobby
Screenings and Assessments include:"
Tennis Club - Competitive Team Practice,"Tuesday, February 25 at 1:00PM EST",Eastern Athletic of Blue Point,Tennis Club,https://stonybrook.campuslabs.com/engage/event/10971160,The tennis club competitive team practices are for members of our competitive team only. We will be playing matches to help prepare for our upcoming tournaments.
SBU Roundnet Weekly Practices,"Tuesday, February 25 at 2:00PM EST",Rec and Wellness Center MAC Courts (basement),Roundnet at SBU,https://stonybrook.campuslabs.com/engage/event/11028583,"SBU Roundnet Weekly Practices @ MAC Courts (basement of Rec)
Tuesday 2-3:30pm
Sunday 4:30-6pm"
"Employer Resume Review - Business, Communication & Journalism","Tuesday, February 25 at 1:00PM EST",Career Center Studio,Career Center,https://stonybrook.campuslabs.com/engage/event/10908562,"Register on Handshake

Come and get your resume reviewed by industry professionals! 1st come 1st serve. Bring a copy of your resume with you. Resume review will take place in the Career Center."
Hands Only CPR Training,"Tuesday, February 25 at 3:00PM EST",CPO Training Room,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10836878,"Part of the CPO Upstander program - Hands Only CPR teaches you how to recognize cardiac arrest and respond with hand-only compressions.

You must register for this training at tinyurl.com/cpobystander

To earn the Upstander Award (includes a certificate and graduation cord), you will need to complete the following:
May 2026 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2026
May 2027 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2027
May 2028 graduates: complete Red Watch Band, QPR, Green Dot AND Hands-Only CPR by January 1, 2028

For accessibility needs please contact prevention_outreach@stonybrook.edu"
Blitzball Practice,"Tuesday, February 25 at 3:30PM EST",Multi-Activity Court,Blitzball Club,https://stonybrook.campuslabs.com/engage/event/11007052,"We will learn, practice, and play games of blitzball."
Global CommuniTEA: Culture and Substance Use,"Tuesday, February 25 at 4:00PM EST",International Student Center (Library S1450),N/A,https://stonybrook.campuslabs.com/engage/event/10935486,"Join us for snacks and tea as we explore the power of culture and community in shaping our college experiences.
This week we discuss substance use and how culture can play a role in the way we view it/use it.
Email prevention_outreach@stonybrook.edu for accessibility needs."
FTA GBM #5: Teacher Class Picture Frame Decoration,"Tuesday, February 25 at 5:00PM EST",Frey 301,Future Teachers Association ,https://stonybrook.campuslabs.com/engage/event/11068561,Come join us for FTA's GBM event. We are going to be making Picture Frames to put in your first classroom.
36th Annual Roth Regatta Committee,"Tuesday, February 25 at 5:00PM EST","Student Activities Center, USG Suite 202, Conference Room",Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/10945402,"The 36th Annual Roth Regatta will take place on Friday, May 2nd at 12 pm! Join the Undergraduate Student Government's Roth Regatta Committee to help plan the event while we discuss registration & logistics, catering, and marketing!"
SF4M movie Tuesdays,"Tuesday, February 25 at 5:00PM EST",Student Union L06-08,Science Fiction Forum,https://stonybrook.campuslabs.com/engage/event/10969015,Come by every Tuesday for a movie to watch with the Science Fiction Forum. Votes for what move to watch are held in the club discord! We will have popcorn as well!
Consulting 101: What Every MBA Needs To Know,"Tuesday, February 25 at 5:00PM EST",Virtual,Career Center,https://stonybrook.campuslabs.com/engage/event/10908663,"Register on Handshake

Consulting 101: What Every MBA Needs to Know is a comprehensive guide for aspiring consultants, offering insights into the industry, future trends, and essential skills for success. It will equip MBA students with practical knowledge and a sharing of intellectual capital from industry professionals. We expect guests from top consulting companies, TBD."
Mindful Living Society Open Meditation,"Tuesday, February 25 at 5:00PM EST",SAC 226,Mindful Living Society,https://stonybrook.campuslabs.com/engage/event/11100562,"Join us in our weekly meditation on Tuesday, February 25th at SAC room 226!Below is the itinerary for the meeting:
We look forward to seeing you there!"
Stony Brook Men's Lacrosse vs. Iona,"Tuesday, February 25 at 4:00PM EST",Kenneth P. LaValle Athletic Stadium,Stony Brook Athletics,https://stonybrook.campuslabs.com/engage/event/10979138,Come check out your Stony Brook Seawolves Men's Lacrosse team take on the Iona Gaels! Free admission for all undergraduate students!
Impulsa Tu Futuro: LBA Resume Workshop & Job Fair,"Tuesday, February 25 at 6:00PM EST",SAC 305,Latinos Business Association,https://stonybrook.campuslabs.com/engage/event/10765663,"Take the next step in your professional journey with the Latino Business Association (LBA) at Impulsa Tu Futuro, a Resume Workshop & Job Fair in collaboration with GEICO! 🚀📄
Kick off the event with an interactive resume workshop, where GEICO professionals will provide expert insights on crafting a standout resume. Then, connect with recruiters and industry professionals at our job fair, offering opportunities to network, explore career paths, and learn more about potential job and internship opportunities.
Don’t miss this exclusive opportunity to enhance your resume, gain career advice, and build valuable connections with GEICO and other professionals! 💼✨"
Womens Club Lacrosse Practice,"Tuesday, February 25 at 5:00PM EST",South P Field C (Lot 40),Women's Club Lacrosse,https://stonybrook.campuslabs.com/engage/event/10971506,Join us for our weekly practices! All skill levels are welcome. Equipment is available to borrow.
NRHH GBM #2,"Tuesday, February 25 at 5:30PM EST","Alan S. deVries Center, Room 121-123",National Residence Hall Honorary,https://stonybrook.campuslabs.com/engage/event/11085309,Join the NRHH E-Board for our regular GBMs and connect with other members!
ASL Club with Deaf Guest Speakers!,"Tuesday, February 25 at 6:00PM EST",SAC 303,American Sign Language (ASL) Club,https://stonybrook.campuslabs.com/engage/event/11074869,Join ASL Club to learn more about the two Deaf Professors at SBU!
FIRST PILATES GBM!,"Tuesday, February 25 at 6:00PM EST",SBU UNION,Pilates Club,https://stonybrook.campuslabs.com/engage/event/11094179,"Join Us for Our First Pilates GBM! 🧘‍♀️✨
Kick off the semester with strength, flexibility, and mindfulness at our first General Body Meeting (GBM)! Whether you're a seasoned Pilates pro or just curious to learn more, this is the perfect opportunity to meet like-minded individuals, discover the benefits of Pilates, and get involved with our community."
Community Wellness Walk with CPO,"Tuesday, February 25 at 6:00PM EST",Union Suite 108,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11067213,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Tuesday February 25th from 6-7pm for one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs"
Public Health Leaders Watch Party,"Tuesday, February 25 at 5:00PM EST",Chapin MPR,N/A,https://stonybrook.campuslabs.com/engage/event/11066028,"Join RA Kafilat, RA Sanket, RA Ngozi, and RA Parth to watch Black Public Health Leaders talk about the field. Here you will learn what Public Health is and what career fields are available."
Student Affairs Undergraduate Fellow Internship 2025-2026 - Virtual Information Sessions,"Tuesday, February 25 at 6:30PM EST",Online,Student Affairs,https://stonybrook.campuslabs.com/engage/event/11100230,
Scavenger Hunt,"Tuesday, February 25 at 6:30PM EST","Frank Melville Jr. Memorial Library, RM N4000",Girls Who Code College Loops at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/11036807,"Join Girls Who Code for a fun and engaging scavenger hunt with exciting challenges and the chance to win great prizes! 🔎 👀 Solve clues, learn more about our club’s mission, and connect with others who share your interests. It’s a perfect opportunity to meet new people, build friendships, and enjoy a great time together. Plus, there will be free snacks to keep the energy going! 🍪 🍫"
Keller Hall General Body Meeting,"Tuesday, February 25 at 6:30PM EST",Keller Hall,Roosevelt Community,https://stonybrook.campuslabs.com/engage/event/11059179,Come join Keller Hall Council's General Body Meeting to share your ideas for improving our community or provide any feedback you may have! We’d love to hear from you!
SBU Club Swimming Presents: So You Want to Run for EBoard,"Tuesday, February 25 at 7:00PM EST",Student Activities Center 305,Club Swimming at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/11058973,"For all those interested in running for the 2025-2026 executive board, come to our information session to learn more about the positions."
Schick Hall Slime Making,"Tuesday, February 25 at 7:00PM EST",Schick Hall,N/A,https://stonybrook.campuslabs.com/engage/event/10984375,Join us for a relaxing slime-making event
"Mac, Cheese, and Policies!","Tuesday, February 25 at 7:00PM EST",Douglass Hall Kitchen,Tabler Community,https://stonybrook.campuslabs.com/engage/event/11077455,"Come join the Douglass staff for some fun policy trivia! Answer a question right and earn a FREE bowl of kraft mac and cheese with assorted toppings! Will have dietary inclusive microwave mac and cheese options on a limited basis. Join us on Tuesday, February 25th at 7:00pm in the Douglass Hall Kitchen!"
Wolfiethon Volunteer Opportunity,"Tuesday, February 25 at 7:00PM EST",Student Union - F&S Lounge,Wolfiethon ,https://stonybrook.campuslabs.com/engage/event/10747889,"Join the volunteer committee! Gain service hours, make decorations, and most importantly be a part of helping the fight against childhood cancer. We meet every Tuesday at 7pm in the f&s lounge."
Bible Study with Fr. Lou,"Tuesday, February 25 at 6:30PM EST",Frey 112,Orthodox Christian Fellowship,https://stonybrook.campuslabs.com/engage/event/11067792,"Hi everyone! Please join Stony Brook's OCF for an evening of Bible study with Father Lou, from the Greek Orthodox Church of the Assumption in Port Jefferson! We hope to see you there!"
"MALIK Fraternity, Inc. Informational","Tuesday, February 25 at 7:00PM EST",SAC 311,"MALIK Fraternity, Inc.",https://stonybrook.campuslabs.com/engage/event/11090696,Men who are interested in joining MALIK Fraternity can learn more about our organization and learn about what it means to be a member.
Yang Hall Council Presents: Casino Night,"Tuesday, February 25 at 7:00PM EST",Yang Hall Lounge,Chávez Tubman and Nobel Community,https://stonybrook.campuslabs.com/engage/event/11064584,"Come join Yang Hall Council on February 25th from 7 to 9pm for Casino Night! Come to Yang Hall Lounge in your best black tie attire  for a night of blackjack, poker, and Shirley Temple mocktails . Engage in friendly competition with your fellow residents or simply show off your fanciest outfits with delicious mocktails. Be sure to arrive promptly at 7pm to enjoy the event to its fullest."
PASA Destress Paint Night!,"Tuesday, February 25 at 7:00PM EST",Devries 204-206,Polish American Student Association,https://stonybrook.campuslabs.com/engage/event/10899967,"Join us for a fun, relaxing night of painting as we all de-stress from midterms!"
GSO TOWNHALL MEETING,"Tuesday, February 25 at 7:00PM EST",SAC Ballroom A,N/A,https://stonybrook.campuslabs.com/engage/event/10864703,"Join us as we feature a panel of campus leadership and address key questions of interest for our graduate student community. We encourage you to submit questions for the panel prior to the event via our question request form.

Panelists include representatives from:
The Graduate School
Division of Student Affairs
Student Community Development
Student Engagement and Activities"
SASA Club Meetings (2/11-5/6),"Tuesday, February 25 at 8:00PM EST","SAC 302, SAC 303",South Asian Student Alliance,https://stonybrook.campuslabs.com/engage/event/10479963,SASA e-board meetings will take place.
LASO GBM,"Tuesday, February 25 at 8:00PM EST",SAC 306,Latin American Student Organization,https://stonybrook.campuslabs.com/engage/event/10930440,General body meeting for the Latin American Student Organization.
Greeley Hall Council GBM,"Tuesday, February 25 at 8:15PM EST",Greeley Lounge,Roosevelt Community,https://stonybrook.campuslabs.com/engage/event/11047341,Greeley's weekly Hall Council meeting. Come down to the Greeley lounge to meet other residents and stay in the loop about building events!
Paint and Sip,"Tuesday, February 25 at 6:00PM EST",Alan S. DeVries Center Room 200,Women's Rugby Football ,https://stonybrook.campuslabs.com/engage/event/11032698,"Join the Women's Rugby Club for our Paint and Sip. Wind down and meet the team while painting! There will be juices and snacks to enjoy, all are welcome!"
Lauterbur Hall Council: General Body Meetings,"Tuesday, February 25 at 8:30PM EST",Lauterbur Classroom,Chávez Tubman and Nobel Community,https://stonybrook.campuslabs.com/engage/event/11030484,Attend Lauterbur Hall Council GBM to learn about events and information regarding the Hall and make your voice count by telling us what you want to improve about our dorm and community. By attending 2 GBM you will be able to fulfill your 2YLC Civic Engagement Event requirement.
High C's Tuesday Rehearsal,"Tuesday, February 25 at 7:00PM EST",SAC Rehearsal Space,High Cs,https://stonybrook.campuslabs.com/engage/event/10759381,"Weekly rehearsal for the High c's, TTBB a cappella group to practice their repertoire."
LASO Freshman Representative Elections,"Tuesday, February 25 at 9:00PM EST",SAC 306,Latin American Student Organization,https://stonybrook.campuslabs.com/engage/event/10456992,WE ARE LOOKING FOR OUTGOING FRESHMEN TO REPRESENT THEIR CLASS AND HERITAGE! BUSINESS CASUAL ATTIRE REQUIRED!
Taandava Practice '24-25 Tuesday (9/24 - 3/04),"Tuesday, February 25 at 7:30PM EST",UNION L06-01A,Taandava,https://stonybrook.campuslabs.com/engage/event/10451310,Taandava will host weekly tuesday practices from 7:30 pm- 10:30 pm at the union club hub.
SBU Club Swimming: Practice - Spring 2025,"Tuesday, February 25 at 9:00PM EST",University Pool,Club Swimming at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/10926686,"Join us for our daily swim practice, all skill levels welcome!
We do not offer a learn to swim program."
CDT Video Shoot,"Tuesday, February 25 at 8:00AM EST",SAC Auditorum,CASB Dance Team ,https://stonybrook.campuslabs.com/engage/event/11044409,CDT is shooting a dance concept video where we hope to shoot videos of our self-made/choreographed dances across different locations on campus to make a dynamic video to put on our YouTube channel for promotional purposes. The SAC Aud would be our only stage-like setting/location.
Ice Hockey: Tuesday Practice (Spring),"Tuesday, February 25 at 10:00PM EST",The Rinx,Ice Hockey,https://stonybrook.campuslabs.com/engage/event/10324297,The Ice Hockey Club will practice on Tuesdays at The Rinx.
Stony Brook AAU Ice Hockey Club On-Ice Practice,"Tuesday, February 25 at 11:35PM EST",Clark Gillies Arena (Dix Hills Ice Rink),Stony Brook AAU Ice Hockey ,https://stonybrook.campuslabs.com/engage/event/10366893,"The Stony Brook AAU Hockey Club hits the ice from 11:35pm-12:35am @ The Clark Gillies Arena in Dix Hills, NY. New members are encouraged to inquire."
Chalk Talk,"Wednesday, February 26 at 7:30AM EST",Frey 112,Sailing,https://stonybrook.campuslabs.com/engage/event/10971241,"Join SBU Sailing for chalk talks to learn about the sport of sailing, basic maneuvers, knots, racing, and more!"
HIV Testing and PrEP Consultations,"Wednesday, February 26 at 11:00AM EST","CPO Office, Union 108",Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10927081,"Free and Confidential HIV testing and PrEP Consultations
Located in the CPO Office, Union 108
Appointments are required: Call or Text 631-219-9174
January 29th, February 5th, February 12th, February 19th, February 26th
11am-5pm"
Flu Season Take And Make Kits!,"Wednesday, February 26 at 11:00AM EST",SAC 305,N/A,https://stonybrook.campuslabs.com/engage/event/11080292,"Practice self care and make some flu season kits to prepare yourself for the (hopefully) last few weeks of this cold season! There will be many teas, vitamin packets, chapsticks, and other goodies to choose from that will aid you in staying warm and protected. Keep in mind that supplies are limited and will be available on a first come first served basis."
"CSA ""Chill"" GBM","Wednesday, February 26 at 12:00PM EST",SAC 305,Commuter Student Association,https://stonybrook.campuslabs.com/engage/event/10991869,"We want to hear your feedback from our chill factor! Come stop by SAC 305 on Wednesday February 26th from 12 pm to 1 pm to hang out, chill and play fun games with CSA!"
The Space 101,"Wednesday, February 26 at 12:30PM EST",Engineering Room 105,College of Engineering and Applied Sciences: The Space,https://stonybrook.campuslabs.com/engage/event/10979991,"The Space 101 is designed for any CEAS undergraduate student looking to become an official User of The Space. Attending, participating and passing the workshop will allow users to join future workshops or work during Open Maker Hours in The Space."
Badminton Club Weekly Meeting,"Wednesday, February 26 at 12:00PM EST",MAC Courts,Badminton Club,https://stonybrook.campuslabs.com/engage/event/11007135,"All skill levels are welcome to join! Come and play with other members or to learn new skills.
Rackets will be available to borrow (We recommend you bring your own if you have). Birdies will be provided.

Location: MAC Courts (Basement of the Recreation Center)
Every Wednesday 12 - 1:30 and Friday 3:00 - 4:30 PM

Don’t forget to have:
- CORQ App ready
- Water
- Comfortable / Athletic wear and shoes (No jeans please!)"
Understanding and Comparing AI Research Tools,"Wednesday, February 26 at 12:30PM EST",Online,University Libraries,https://stonybrook.campuslabs.com/engage/event/10997656,"What AI tools are available to help with the scholarly research process? Are they helpful? What do they do and is it worth the time and energy to try them out? Join librarian Christine Fena to explore and compare established and emerging AI research tools such as Elicit, Scite, Consensus, and Undermind. The workshop will not offer a lengthy tutorial on how to use any of these tools, but will provide a starting point to understanding what they are, what new ones are emerging, and how AI research assistants might bring changes to your search process. All are welcome!
Please register for this event ahead of time using this Zoom registration link."
Understanding and Comparing AI Research Tools,"Wednesday, February 26 at 12:30PM EST",Online,University Libraries,https://stonybrook.campuslabs.com/engage/event/11068262,"What AI tools are available to help with the scholarly research process? Are they helpful? What do they do and is it worth the time and energy to try them out? Join librarian Christine Fena to explore and compare established and emerging AI research tools such as Elicit, Scite, Consensus, and Undermind. The workshop will not offer a lengthy tutorial on how to use any of these tools, but will provide a starting point to understanding what they are, what new ones are emerging, and how AI research assistants might bring changes to your search process. All are welcome!

Please register ahead of time using this Zoom Registration link."
English Majors and Pre-Law,"Wednesday, February 26 at 12:30PM EST",Poetry Center 2001 Humanities,N/A,https://stonybrook.campuslabs.com/engage/event/11059794,"Thinking about law school? Your English degree is your secret weapon! Critical thinking, persuasive writing, and analytical reading—these are the skills that set top lawyers apart, and they’re exactly what English majors master."
Ice Hockey: Wednesday Practice (Spring),"Wednesday, February 26 at 12:45PM EST",The Rinx,Ice Hockey,https://stonybrook.campuslabs.com/engage/event/10324343,The Ice Hockey Club will practice on Wednesdays at The Rinx.
Clubs & Orgs President's Council,"Wednesday, February 26 at 12:30PM EST",SAC 302,Student Engagement & Activities,https://stonybrook.campuslabs.com/engage/event/11048401,"Hear Ye! Hear Ye! Presidents of Student Clubs and Organizations!

You are cordially invited to attend the first President's Council of 2025, hosted by Student Engagement & Activities. All club presidents are welcome to attend for rousing discussion and mingling. We hope to hear about your experiences as club leaders and also foster collaboration between our incredible groups."
WIB General Body Meeting,"Wednesday, February 26 at 1:00PM EST",Frey Hall 105,Women In Business at SBU,https://stonybrook.campuslabs.com/engage/event/10922855,"Women In Business at Stony Brook University is an organization for business students committed to empowering and inspiring future women business leaders. Our community will help educate, inform, and guide business students at Stony Brook University to help achieve all of their goals- both short-term and long-term.
To become an active member, you must attend three (3) General Body Meetings. To become an officer, you must be an active member as well as already have attended one professional, one social and one fundraiser event.
Note: This organization is open to all members of the Stony Brook community, regardless of gender. No person shall be denied membership for or office because of sexual orientation, nation of origin, race, sex, physical disability, political or religious beliefs, and all other protected classes under federal and state laws."
Study Abroad Mini Fair,"Wednesday, February 26 at 11:00AM EST",Student Union Lobby,International Academic Programs (Study Abroad Office),https://stonybrook.campuslabs.com/engage/event/11087505,"Let us introduce you to opportunities to travel the world, earn credits, and immerse yourself in new cultures!"
Student Life Job Fair,"Wednesday, February 26 at 12:00PM EST",Union Ballroom,Office of Student Life,https://stonybrook.campuslabs.com/engage/event/11054778,"Looking for a job on campus? Join the Office of Student Life for our Job Fair on Wednesday, February 26, from 12–2 PM in the Union Ballroom!
Learn more about upcoming leadership opportunities and on-campus employment with Student Life!
We’re hiring undergraduate and graduate students for Summer and Fall 2025 positions.
📌 What to bring:✔️ Your resume✔️ Cover Letter
✔️ Portfolio
"
WUSB Recess!,"Wednesday, February 26 at 12:00PM EST",WUSB Radio Station - 2nd Floor of West Side Dining,WUSB,https://stonybrook.campuslabs.com/engage/event/11087562,"Recess is an opportunity to get on-air training to be a DJ at WUSB! We will be teaching you the basics of engineering a show, even if you do not want a show, this is a good opportunity to meet some of the other people at WUSB!
"
Dodgeball Club Practice,"Wednesday, February 26 at 12:30PM EST",Campus Recreation Center Wood Court #3,Dodgeball Club,https://stonybrook.campuslabs.com/engage/event/10971310,Join us in the Rec Center Wood Courts for a fun practice for all skill levels to play dodgeball and other fun versions of the game together!
College Republicans GBM,"Wednesday, February 26 at 1:00PM EST",Frey 205,College Republicans,https://stonybrook.campuslabs.com/engage/event/11051371,"Come join the Stony Brook College Republicans for our weekly General Body Meeting (GBM)!
- Discuss the latest political news and how it affects our campus and country!
- Participate in member presentations, workshops, games, guest speakers and more!
- Find internship opportunities in local government!
- Take advantage of a platform for conservative students to speak freely on campus!
General Body Meetings are 1:00PM - 2:00PM on Wednesdays in Frey Hall Room 205."
Turkana Basin Institute Info Session,"Wednesday, February 26 at 1:00PM EST",Online,International Academic Programs (Study Abroad Office),https://stonybrook.campuslabs.com/engage/event/11090438,
USG Elections Informational Session,"Wednesday, February 26 at 1:00PM EST",Zoom,Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/11056323,
Prospective CA Recruitment Mixer,"Wednesday, February 26 at 1:00PM EST",The Shore Club,N/A,https://stonybrook.campuslabs.com/engage/event/10183666,"Looking for an invilvement opportunity on campus that will provide you with transferrable skills, and look great on a resume? Do you love helping your peers, and contributing to the University community? Consider becoming a Commuter Assistant! Join us for some food and information about our program, and how you can get involved!"
"Ecology & Evolution Seminar: ""Scaling Up Behavioral Ecology""","Wednesday, February 26 at 2:00PM EST","Life Sciences, Room 038",Ecology & Evolution Department,https://stonybrook.campuslabs.com/engage/event/11091669,"Join us on Wednesdays at 2:00 in Life Science, room 038, for a free Ecology & Evolution seminar as part of our Colloquium Speaker Series! This lecture features Dr. Blair Costello on ""Scaling Up Behavioral Ecology."" Dr. Blair Costello's research focuses on the collective behavior and movement ecology of African ungulates. She is currently leading a project to develop new drone and computer vision tools for wildlife ecology and conservation applications.
Don't miss this exciting talk! There will be free tea, coffee and cookies!"
